1481406354
task	R	T	Offset	priority	allocation
47	21.9	200	17.4	15	2
48	12.7	400	0	16	2
49	0.209	5	0	7	2
50	93.5	100	85	16	0
51	0.109	2	0	3	0
52	0.12	4	0	4	1
53	1.95	20	0	18	1
54	73.9	400	0	34	1
55	37	100	0	28	1
56	96.8	1000	0	36	1
57	347	1000	2.87	36	0
58	0.0454	2	0	3	2
59	0.0799	2	0	4	2
60	2.82	40	0	20	1
61	0.58	5	0	10	1
62	67.3	1000	0.893	21	2
63	13.9	100	0	17	0
64	3.83	40	0	22	1
65	183	1000	0	32	0
66	0.2	4	0	6	2
67	1.34	20	0	7	0
68	0.492	10	0	6	0
69	138	500	0	27	0
70	3.62	50	0.0115	10	0
71	23.2	500	0	18	2
72	6.48	50	0	25	1
73	98.8	500	0	26	0
74	3.17	50	0	9	0
75	1.76	50	0	12	2
76	49.2	500	0	20	2
77	23.9	400	1.95	17	2
78	5.36	50	0	12	0
79	38.5	50	37	11	2
80	33.8	200	0.12	23	0
81	126	200	67.3	31	1
82	289	1000	0	38	1
83	17.4	100	0	18	0
84	72.6	400	1.95	24	0
85	257	1000	0	34	0
86	0.684	5	0	11	1
87	0.15	4	0	5	1
88	0.909	10	0	15	1
89	24.7	100	0	19	0
90	8.92	50	0	26	1
91	0.0824	2	0	5	2
92	0.475	4	0	5	0
93	144	500	0	28	0
94	24.7	100	0	20	0
95	2.81	20	0	19	1
96	0.599	10	0	9	2
97	66.2	100	39.7	21	0
98	63.4	200	0	32	1
99	0.0135	1	0	1	2
----------------------------------------
1481406427
task	R	T	Offset	priority	allocation
0	99.8	500	11.3	36	2
1	0.867	20	0	16	2
2	14.6	100	0.0986	13	0
3	0.0986	4	0	4	2
4	0.13	1	0.0986	0	0
5	0.356	5	0	5	0
6	7.05	50	0.356	10	0
7	7.65	50	0	11	0
8	0.266	5	0	8	2
9	1.69	40	0	20	2
10	89.4	500	57.5	33	2
11	0.0571	2	0	2	0
12	65.1	500	0.356	19	0
13	1.83	4	1.69	5	1
14	176	1000	0	40	2
15	58.8	400	1.69	18	0
16	20.4	100	0.485	14	0
17	108	1000	0.356	29	1
18	217	1000	19.1	24	0
19	0.423	5	0	10	1
20	2.42	20	0.0249	9	0
21	1.07	20	0	17	2
22	0.13	4	0	5	2
23	177	1000	0.266	23	0
24	44.4	200	1.07	16	0
25	0.943	20	0	7	0
26	1.33	40	0	19	2
27	129	1000	0	39	2
28	1.3	20	0	18	2
29	0.247	4	0	6	1
30	3.35	50	0	20	1
31	0.104	2	0	2	1
32	186	1000	0	41	2
33	45.4	200	1.19	17	0
34	0.333	5	0	9	2
35	0.517	10	0	14	2
36	0.363	5	0	11	2
37	1.32	10	0	14	1
38	56.4	400	7.65	24	1
39	5.83	100	0	26	2
40	19.1	200	0	28	2
41	0.351	5	0	10	2
42	0.986	1	0.943	0	1
43	1.22	4	0.943	7	1
44	72.3	500	0	20	0
45	3.41	40	0	22	2
46	2.03	5	1.3	11	1
47	32.6	200	3.41	23	1
48	276	1000	176	22	0
49	83.2	500	0.279	21	0
50	38.9	100	0	15	0
51	0.0464	2	0	1	2
52	26.7	200	0	22	1
53	21.6	200	0	29	2
54	22.6	200	0	30	2
55	3.71	40	0	23	2
56	0.134	4	0	6	2
57	23.9	200	0	31	2
58	0.234	4	0	7	2
59	0.0797	2	0	3	0
60	0.109	2	0	3	1
61	54.5	500	0	26	1
62	1.19	10	0	13	1
63	2.87	50	0	19	1
64	27.4	400	0	32	2
65	0.589	10	0	15	2
66	0.077	2	0	2	2
67	0.416	5	0	12	2
68	57	500	0	34	2
69	4.41	50	0	24	2
70	176	1000	4.41	30	1
71	108	500	0	37	2
72	0.485	5	0	13	2
73	0.0249	1	0	0	2
74	3.65	100	0	21	1
75	67.5	500	0.356	28	1
76	116	500	0	38	2
77	4.54	50	0	25	2
78	3.49	40	1.19	21	2
79	4.97	40	3.49	17	1
80	2.4	40	0	18	1
81	0.331	4	0	8	1
82	0.546	10	0	6	0
83	0.117	2	0	4	0
84	1.34	20	0	16	1
85	1.34	10	0	15	1
86	52.6	400	0	25	1
87	1.44	2	1.33	4	1
88	197	1000	0	42	2
89	0.0793	2	0	3	2
90	7.86	100	0	27	2
91	67.7	500	0	35	2
92	0.473	4	0.117	9	1
93	65.7	500	0.0316	27	1
94	0.0342	1	0	1	0
95	11.2	100	0	12	0
96	0.0916	1	0	1	1
97	0.821	5	0	12	1
98	225	1000	0	43	2
99	1.25	20	0	8	0
----------------------------------------
1481406428
task	R	T	Offset	priority	allocation
0	1.97	10	0	15	0
1	3.65	20	0	20	0
2	4.17	5	3.65	6	1
3	0.974	10	0	10	1
4	1.09	10	0	11	1
5	15.4	50	7.71	20	1
6	1.62	20	0	15	1
7	15.6	100	0	29	1
8	0.448	5	0	10	0
9	0.634	5	0	7	1
10	0.697	5	0	8	1
11	21.6	100	7.71	28	1
12	9.38	500	0.0711	11	2
13	0.102	2	0	5	0
14	1.14	10	0	12	1
15	167	500	0.0365	42	1
16	176	500	0.171	43	1
17	13.3	100	0	27	1
18	28.3	200	1.97	32	1
19	184	1000	0	44	1
20	8.86	50	0	21	1
21	0.171	2	0	6	0
22	76.6	500	0	32	0
23	1.65	10	0	14	0
24	0.993	1	0.974	0	0
25	59.3	500	0	31	0
26	76.7	1000	59.3	13	2
27	17.3	100	0	30	1
28	11.8	100	0	26	1
29	0.0286	1	0	1	0
30	213	1000	184	14	2
31	2.82	40	0	17	1
32	37.3	200	0	34	1
33	0.0323	1	0	0	1
34	0.208	1	0.171	0	2
35	0.712	10	0	9	1
36	6.86	50	0	19	1
37	9.05	50	0.113	23	1
38	106	400	39.9	37	1
39	0.363	4	0	3	1
40	0.0615	1	0	1	2
41	66.4	400	0	38	1
42	12.8	100	0	26	0
43	0.649	5	0	11	0
44	77.6	400	0	39	1
45	49.3	400	0	36	1
46	135	1000	37.3	33	0
47	33.1	200	0	28	0
48	1.5	10	0	13	1
49	0.0313	1	0	2	0
50	188	1000	0.712	35	0
51	197	1000	0	45	1
52	140	400	0	40	1
53	0.0681	1	0	1	1
54	2.3	10	0	16	0
55	0.08	1	0	2	2
56	6.42	40	0	18	1
57	0.188	5	0	5	2
58	94.1	100	76.7	31	1
59	88.5	500	76.6	12	2
60	8.98	50	0	24	0
61	318	1000	59.3	46	1
62	1.56	10	0	14	1
63	3.37	20	0	18	0
64	9.25	50	0	24	1
65	32.9	1000	0.334	15	2
66	1.36	20	0	8	2
67	0.0489	1	0	3	0
68	3.43	20	0	19	0
69	0.0711	2	0	4	0
70	9.7	50	0	25	0
71	0.852	5	0	12	0
72	3.92	20	0	21	0
73	0.334	4	0	8	0
74	4.83	20	0	22	0
75	48.5	1000	13.3	16	2
76	26.5	200	0.0871	33	1
77	39.3	200	1.36	35	1
78	146	500	0	41	1
79	2.74	10	0	17	0
80	5.73	40	0	23	0
81	170	1000	0	34	0
82	0.463	4	0	5	1
83	0.113	4	0	4	2
84	0.379	4	0	9	0
85	0.442	4	0	4	1
86	2.75	20	0	16	1
87	57.6	400	0	30	0
88	8.94	50	0	22	1
89	0.189	2	0	2	1
90	0.952	5	0	13	0
91	29.9	100	0	27	0
92	0.0871	1	0	3	2
93	2.11	20	0	9	2
94	68.3	200	28.3	29	0
95	9.92	50	0	25	1
96	0.254	2	0	7	0
97	7.64	500	0	10	2
98	0.204	10	0	6	2
99	0.519	20	0	7	2
----------------------------------------
1481406429
task	R	T	Offset	priority	allocation
0	9.96	100	0	20	2
1	1.28	20	0	13	2
2	13.3	40	6.14	16	2
3	6.74	20	0.304	23	0
4	0.81	10	0	12	1
5	0.00401	1	0	0	0
6	83.9	100	70.7	29	0
7	9.09	100	0	19	2
8	116	500	0.781	26	1
9	0.0125	1	0	0	1
10	95.7	100	83.9	21	2
11	65.6	500	0.0215	24	1
12	0.266	5	0	9	1
13	0.991	50	0	14	1
14	0.122	4	0	4	2
15	0.076	2	0	4	1
16	0.217	4	0	7	1
17	0.249	4	0	5	2
18	0.775	20	0	10	2
19	0.245	5	0	10	0
20	157	500	0	37	0
21	8.38	40	0	24	0
22	0.644	5	0	12	0
23	13.1	100	0.27	22	2
24	1.02	20	0.217	11	2
25	25.7	400	9.09	18	1
26	69.4	400	0.0853	35	0
27	0.654	1	0.644	0	2
28	167	200	130	32	0
29	0.0282	1	0	1	0
30	0.0484	1	0	2	0
31	42.7	400	8.38	20	1
32	79.2	1000	0	30	2
33	135	1000	7.6	28	1
34	7.59	50	0	17	2
35	0.67	5	0	13	0
36	8.46	50	0.0125	18	2
37	22.6	400	0	19	1
38	6.98	200	0	16	1
39	56.3	400	8.59	22	1
40	27.5	100	0.076	30	0
41	18.6	400	0	25	2
42	0.27	5	0	10	1
43	8.68	40	0.0853	25	0
44	0.0215	2	0	2	2
45	2.88	20	0	20	0
46	1.68	10	0	16	0
47	0.237	4	0	8	1
48	0.0145	1	0	1	1
49	0.014	1	0	1	2
50	279	500	157	27	1
51	0.0639	1	0	3	0
52	46.7	400	27.5	26	2
53	1.21	2	0.991	8	0
54	0.451	5	0	11	0
55	38.9	400	0	34	0
56	8.89	40	0	26	0
57	9.75	40	0	27	0
58	0.0811	1	0	4	0
59	0.781	5	0	14	0
60	0.304	5	0	11	1
61	0.0853	2	0	5	1
62	7.66	10	6.98	9	2
63	0.427	5	0	7	2
64	195	1000	0.81	38	0
65	0.11	1	0	5	0
66	2.26	10	0	17	0
67	67.6	500	0	28	2
68	71.7	1000	0	29	2
69	0.963	20	0	12	2
70	18.3	200	0.166	24	2
71	0.893	40	0	13	1
72	3.52	200	0	15	1
73	70.2	500	0.216	25	1
74	2.36	10	0	18	0
75	0.103	4	0	3	2
76	3.85	4	3.52	6	2
77	141	1000	2.36	29	1
78	16.6	200	0	17	1
79	1.84	20	0	14	2
80	0.201	2	0	7	0
81	12.9	100	0	28	0
82	37.5	200	0	33	0
83	34.6	500	0	27	2
84	43.1	400	0	21	1
85	6.54	40	0	15	2
86	0.579	5	0	8	2
87	17.7	100	0.81	23	2
88	0.885	5	0	15	0
89	0.226	2	0	9	0
90	54.4	400	0.103	23	1
91	147	400	0	36	0
92	33.7	200	0	31	0
93	2.75	10	0	19	0
94	0.0274	1	0	2	1
95	0.166	1	0	6	0
96	5.84	20	0	22	0
97	0.0288	1	0	3	1
98	11.2	20	6.54	21	0
99	0.214	2	0	6	1
----------------------------------------
1481406431
task	R	T	Offset	priority	allocation
0	1.81	40	0	22	0
1	2.43	10	1.81	6	1
2	0.729	10	0	17	0
3	1.11	10	0	18	0
4	0.156	2	0	6	0
5	1.36	20	0	19	0
6	75.7	500	0	36	0
7	0.263	4	0	9	0
8	0.49	5	0	12	0
9	0.698	10	0	16	0
10	26.8	400	0	32	0
11	8.45	100	0	26	0
12	1.49	20	0	21	0
13	14.6	200	0	28	0
14	0.217	2	0	7	0
15	30	400	0.0412	33	0
16	0.000695	1	0	0	0
17	367	1000	0	43	0
18	72.3	1000	0	15	1
19	146	500	0.795	38	0
20	0.133	2	0	3	1
21	390	1000	16.1	44	0
22	567	1000	74.8	45	0
23	1.37	20	0	9	1
24	0.00678	1	0	1	0
25	0.795	20	0	8	1
26	0.514	5	0	13	0
27	44.5	500	0	13	1
28	0.0318	1	0	0	1
29	0.0121	1	0	0	2
30	1.84	40	0	23	0
31	283	1000	0	41	0
32	4.12	20	1.84	17	2
33	0.0112	1	0	2	0
34	2.27	5	1.84	4	1
35	35.6	200	0.698	30	2
36	0.262	2	0	8	0
37	0.741	1	0.698	1	1
38	277	1000	0	40	0
39	0.0182	1	0	2	2
40	4.97	50	0	24	0
41	0.518	10	0	5	1
42	0.295	5	0	12	2
43	66.4	400	0	34	0
44	0.0635	1	0	3	0
45	53.7	500	0	14	1
46	0.0923	4	0	10	2
47	7.22	40	0	20	2
48	74.8	500	0	34	2
49	3.6	40	0	19	2
50	9.22	50	0	22	2
51	0.446	5	0	11	0
52	35.7	400	0	12	1
53	1.76	20	0	10	1
54	0.0263	1	0	3	2
55	94.1	1000	0	36	2
56	0.419	5	0	13	2
57	0.0412	1	0	4	2
58	11.3	50	0	24	2
59	2.25	10	1.49	7	1
60	0.529	10	0	14	0
61	0.083	1	0	4	0
62	16.1	100	0	27	2
63	0.115	1	0	2	1
64	9.74	200	0	11	1
65	9.99	50	0	23	2
66	113	500	0.0263	37	0
67	10.2	100	0.518	27	0
68	36.2	400	0	31	2
69	71	500	0	32	2
70	0.156	5	0	11	2
71	5.33	100	0	25	0
72	0.574	10	0	15	0
73	0.0486	1	0	5	2
74	16.2	100	0	28	2
75	7.38	40	0	21	2
76	0.94	10	0.514	14	2
77	0.0237	1	0.00678	1	2
78	0.053	1	0	6	2
79	0.0603	1	0	7	2
80	103	400	36.2	35	0
81	0.0732	2	0	9	2
82	1.28	20	0	16	2
83	71.2	500	0	33	2
84	1.23	20	0	15	2
85	89.6	500	0	35	2
86	21.3	50	9.74	25	2
87	0.347	4	0	10	0
88	0.068	2	0	8	2
89	138	1000	4.97	16	1
90	1.48	20	0	20	0
91	149	500	0	39	0
92	2.67	20	0	18	2
93	15	200	0	29	0
94	17.1	200	0	30	0
95	323	1000	0	42	0
96	0.153	2	0	5	0
97	21.7	400	0	31	0
98	17.2	100	0	29	2
99	13.4	50	0	26	2
----------------------------------------
1481406436
task	R	T	Offset	priority	allocation
0	1.53	20	0	15	2
1	0.477	10	0	11	2
2	0.116	2	0	2	2
3	95.5	500	0	34	2
4	3.76	50	0	19	2
5	7.44	50	0	23	2
6	134	500	0.953	36	2
7	0.254	4	0	7	2
8	126	500	1.44	35	2
9	1.86	20	0	12	0
10	0.132	2	0	3	2
11	0.135	1	0	0	0
12	4.77	50	0.038	20	2
13	5.73	50	0.389	21	2
14	15	100	0.17	28	2
15	10.2	100	0.423	25	2
16	0.00605	1	0	0	1
17	0.522	10	0	7	1
18	208	1000	15	37	0
19	3.84	50	0	14	0
20	0.39	4	0	5	0
21	0.499	4	0	6	0
22	27.6	400	15	18	1
23	6.74	50	0	22	2
24	181	1000	7.44	22	1
25	3.9	50	0	15	1
26	9.79	100	0	17	0
27	0.238	5	0	4	1
28	0.00271	1	0	0	2
29	0.357	5	0	5	1
30	183	1000	0	36	0
31	88.8	500	0	33	0
32	33.7	200	0	32	2
33	84	500	0	32	0
34	22.6	200	0.00605	22	0
35	0.953	10	0	9	0
36	0.136	1	0	1	0
37	0.025	1	0	1	1
38	18	100	0.477	18	0
39	97.4	500	0	34	0
40	18.5	100	0	19	0
41	120	500	88.8	20	1
42	0.192	2	0	3	0
43	80.9	1000	0.953	21	1
44	1.29	10	0	10	0
45	0.81	10	0	12	2
46	0.231	4	0	5	2
47	63.9	400	0.025	33	2
48	0.253	4	0	6	2
49	6.8	100	0	16	0
50	1.47	10	0.025	11	0
51	19.2	100	0.606	20	0
52	20.3	100	0.625	21	0
53	18.9	100	0	29	2
54	187	1000	0	38	2
55	9.86	200	0	17	1
56	2.3	40	0	12	1
57	37.8	400	0	27	0
58	48.2	400	0.81	30	0
59	8.62	50	0	24	2
60	0.0484	2	0	3	1
61	0.625	10	0	9	1
62	0.0682	1	0	1	2
63	0.838	10	0	13	2
64	0.346	5	0	9	2
65	25.6	200	0	24	0
66	0.26	4	0	8	2
67	2.54	40	0	16	2
68	0.423	1	0.253	2	0
69	37.9	400	0	28	0
70	4.67	100	0	15	0
71	0.669	10	0	10	1
72	24.7	200	0	23	0
73	134	500	0.346	35	0
74	0.508	4	0	7	0
75	1.77	20	0	11	1
76	0.038	1	0	2	1
77	2.9	40	0.132	13	1
78	0.202	2	0	4	2
79	27.2	400	0	19	1
80	23.2	200	0	31	2
81	12.6	100	0	26	2
82	8.2	100	0	16	1
83	0.423	5	0	6	1
84	143	1000	0	37	2
85	0.448	5	0	10	2
86	0.282	2	0	4	0
87	72.9	500	0	31	0
88	0.525	5	0	8	0
89	26.7	200	0	25	0
90	30	200	0	26	0
91	2.57	40	0	13	0
92	44.5	400	0	29	0
93	3.16	40	0	17	2
94	22.7	100	0	30	2
95	1.47	10	0	14	2
96	3.74	50	0	18	2
97	13.7	100	0	27	2
98	0.606	10	0	8	1
99	2.93	40	0	14	1
----------------------------------------
1481406443
task	R	T	Offset	priority	allocation
0	0.0799	4	0	1	2
1	2.23	40	0	8	2
2	0.00673	1	0	0	0
3	0.331	10	0	5	2
4	121	400	2.23	39	1
5	0.131	2	0	6	1
6	5.97	40	0	22	0
7	1.77	20	0	19	1
8	129	500	2.83	40	1
9	0.0019	1	0	0	1
10	0.0506	1	0	1	0
11	2.83	20	0	18	0
12	0.636	5	0	14	1
13	3.47	20	0	19	0
14	0.0383	1	0	1	1
15	0.499	10	0	6	2
16	6.72	40	0	23	0
17	0.0518	1	0	3	1
18	0.58	4	0	7	0
19	6.95	100	0	25	1
20	0.057	1	0	4	1
21	97.5	400	0	37	1
22	26	200	0.218	28	0
23	43.3	200	26	29	1
24	0.0792	1	0	2	0
25	26	200	3.09	30	1
26	1.88	20	0	20	1
27	0.65	5	0	15	1
28	0.478	4	0	11	1
29	2.74	20	0.057	17	0
30	0.51	4	0	12	1
31	0.563	20	0	7	2
32	9.18	100	0	27	1
33	5.4	100	0	12	2
34	7.21	100	0	13	2
35	57.9	400	1.88	31	0
36	47.8	200	0	31	1
37	0.961	10	0	18	1
38	132	500	0.0799	41	1
39	134	500	0.58	42	1
40	0.681	5	0	16	1
41	0.113	5	0	2	2
42	2.98	10	0.499	15	0
43	2.96	40	0	9	2
44	10.8	400	0	16	2
45	7.92	100	0	14	2
46	173	1000	0	44	1
47	7.58	40	0	24	0
48	37.6	200	0	30	0
49	99.8	400	0	38	1
50	0.587	4	0	8	0
51	0.118	1	0	5	1
52	0.114	2	0	5	0
53	0.0241	1	0	0	2
54	59.5	200	0	33	1
55	2.37	10	0	14	0
56	0.043	1	0	2	1
57	9.34	100	0.499	26	1
58	5.4	40	2.37	10	2
59	58.5	200	0	32	1
60	0.598	4	0	13	1
61	0.09	1	0	3	0
62	1.69	5	0	12	0
63	0.326	4	0	9	1
64	65.3	200	0.58	35	1
65	0.166	2	0	7	1
66	63.8	200	0	34	1
67	7.71	100	0	25	0
68	144	500	0	34	0
69	49.3	1000	0	18	2
70	9.29	100	0	26	0
71	3.67	40	0.58	11	2
72	0.222	10	0	4	2
73	3.24	4	2.83	10	1
74	0.924	10	0	17	1
75	3.5	20	0	20	0
76	0.815	4	0	9	0
77	15.7	100	0	28	1
78	0.221	5	0	3	2
79	21	500	0	17	2
80	52.5	1000	0	19	2
81	14.9	100	0	27	0
82	93.8	400	0	33	0
83	3.59	20	0	21	0
84	1.75	5	0	13	0
85	2.68	20	0	21	1
86	2.74	20	0	22	1
87	0.161	2	0	6	0
88	26.9	200	0	29	0
89	11.6	400	1.75	15	2
90	166	1000	0	43	1
91	5.66	40	0	24	1
92	0.11	1	0	4	0
93	73.4	400	0	32	0
94	71.7	200	0.11	36	1
95	0.218	2	0	8	1
96	2.79	20	0	23	1
97	1.18	4	0	10	0
98	2.6	10	0	16	0
99	1.19	4	0	11	0
----------------------------------------
1481406449
task	R	T	Offset	priority	allocation
0	6.33	40	0.508	19	2
1	0.563	10	0	10	1
2	0.711	10	0	11	2
3	1.14	20	0	14	2
4	0.144	5	0	5	1
5	0.881	20	0	13	1
6	19.1	200	0	26	1
7	84.8	200	59.3	27	1
8	81.3	400	3.12	28	1
9	8.35	100	0	23	1
10	0.496	5	0	6	2
11	0.119	2	0	2	1
12	118	400	1.09	31	1
13	22.3	100	8.35	23	0
14	0.152	5	0	6	1
15	1.1	5	0.563	8	2
16	4.52	40	0	18	2
17	6.21	20	4.52	13	0
18	11.7	40	4.52	19	0
19	0.000596	1	0	0	0
20	0.61	10	0	10	0
21	3.24	40	0.119	17	2
22	61.8	1000	0	29	2
23	0.191	4	0	5	0
24	0.0286	1	0	1	0
25	4.86	20	3.24	14	1
26	1.62	20	0	12	0
27	65.3	500	6.89	30	0
28	27.5	200	0	26	0
29	7.61	40	0.0329	20	0
30	90.4	400	0.61	30	1
31	0.0329	1	0	0	1
32	73.2	100	61.8	24	1
33	6.3	50	0	20	1
34	1.69	20	0	15	1
35	141	400	7.58	32	1
36	8.37	40	0	21	0
37	0.917	10	0	12	2
38	4.71	20	0.25	17	1
39	0.708	10	0	11	0
40	37.4	400	0	27	0
41	6.62	40	0	18	0
42	8.32	100	0	22	1
43	0.0463	1	0	1	1
44	0.468	5	0	8	0
45	167	1000	0	34	1
46	3.07	20	0.917	16	1
47	0.691	10	0	11	1
48	54.5	200	27.5	25	2
49	0.166	5	0	7	1
50	89	1000	0.496	31	0
51	2.71	20	0	14	0
52	9.16	100	0	22	0
53	58.4	500	0.129	29	0
54	0.0256	1	0	0	2
55	0.547	5	0	9	2
56	180	1000	0	35	1
57	1.54	20	0	15	2
58	0.14	4	0	4	1
59	3.05	20	0	15	0
60	3.19	20	0.119	16	0
61	0.285	4	0	4	2
62	149	1000	0	33	1
63	0.355	4	0	7	0
64	109	1000	0	30	2
65	5.64	40	0	19	1
66	0.526	5	0	9	0
67	0.0328	2	0	1	2
68	0.964	10	0	13	2
69	0.508	10	0	9	1
70	0.881	10	0	12	1
71	3.62	5	3.24	8	1
72	0.528	5	0	7	2
73	9.41	50	0	22	2
74	88.5	400	0.0331	29	1
75	5.32	20	0	17	0
76	48.6	500	0	28	0
77	0.0331	2	0	3	0
78	13.1	20	8.37	18	1
79	27.1	200	0	25	0
80	0.0321	1	0	2	0
81	0.258	4	0	3	2
82	59.3	500	0	28	2
83	6.8	50	0	20	2
84	0.652	5	0	10	2
85	0.25	4	0	6	0
86	38.6	200	22.3	25	1
87	14.4	200	0	24	0
88	0.129	2	0	3	1
89	23.1	200	0	24	2
90	13	100	0	23	2
91	31.6	400	0	27	2
92	6.89	50	0	21	2
93	109	1000	0	31	2
94	0.255	2	0	2	2
95	7.57	50	0	21	1
96	0.0576	2	0	4	0
97	0.332	5	0	5	2
98	2.92	40	0	16	2
99	27.5	400	0	26	2
----------------------------------------
1481406450
task	R	T	Offset	priority	allocation
0	0.147	2	0	6	1
1	186	1000	0.658	38	1
2	0.42	5	0	11	1
3	0.524	5	0	12	1
4	214	500	79.4	36	1
5	1.96	40	0.0801	20	1
6	0.223	4	0	6	0
7	2.66	50	0	9	2
8	0.101	2	0	4	2
9	200	1000	13.1	39	1
10	0.0107	1	0	0	0
11	17.7	100	0	24	0
12	198	500	19.4	37	1
13	13.5	100	0	25	1
14	0.00156	1	0	0	1
15	131	500	0	36	0
16	3.68	40	0	17	0
17	0.823	20	0	13	0
18	5.42	40	0	18	0
19	2.63	20	0	14	0
20	5.74	40	0	19	0
21	279	1000	0.503	42	0
22	6.6	10	5.74	15	1
23	3.33	20	0	15	0
24	20.3	100	0.562	26	0
25	347	500	200	37	0
26	39	500	0.0107	14	2
27	28	400	0.658	11	2
28	99.7	400	5.42	30	1
29	0.379	4	0	7	0
30	33.2	200	0	30	0
31	42.3	200	3.15	31	0
32	76.5	400	0	34	0
33	0.561	5	0	9	0
34	19	100	0.147	25	0
35	3.18	5	2.63	13	1
36	79.4	400	0	35	0
37	0.021	1	0	0	2
38	0.0123	1	0	1	0
39	0.586	1	0.561	1	1
40	14.8	400	0	10	2
41	6.5	40	0.0399	20	0
42	0.86	1	0.823	1	2
43	339	1000	1.88	43	0
44	39.9	400	0	28	1
45	0.658	5	0	10	0
46	27.8	200	0	28	0
47	126	500	0	34	1
48	0.381	5	0	10	1
49	0.685	5	0	11	0
50	276	1000	0	41	0
51	42.9	1000	0	15	2
52	2.47	40	0	21	1
53	1.28	10	0.0561	16	1
54	66.9	200	0	32	0
55	19.7	200	0	27	1
56	3.92	20	0.381	16	0
57	75.6	400	0.0369	33	0
58	0.0243	1	0	2	0
59	29.7	200	0	29	0
60	274	1000	0	39	0
61	0.2	2	0	5	0
62	276	1000	0	40	0
63	0.0399	1	0	2	1
64	0.0672	1	0	2	2
65	8.53	50	0	22	0
66	13.1	100	0	23	0
67	0.152	2	0	7	1
68	0.923	5	0.524	8	0
69	1.09	10	0	8	2
70	0.0561	1	0	3	0
71	192	500	0.554	38	0
72	24.6	100	0	27	0
73	99.8	400	0.923	31	1
74	0.185	2	0	8	1
75	2.79	50	0	22	1
76	0.0419	1	0	3	1
77	1.43	20	0	19	1
78	132	500	0	35	1
79	69.1	400	0	29	1
80	0.781	10	0	12	0
81	0.0503	1	0	4	1
82	1.36	20	0	18	1
83	0.0801	1	0	5	1
84	13.8	100	0	26	1
85	7.93	50	0.101	23	1
86	117	400	0	32	1
87	0.0801	1	0	3	2
88	0.617	5	0	14	1
89	4.02	5	3.92	6	2
90	0.503	10	0	7	2
91	28	500	0	12	2
92	28.1	500	0	13	2
93	0.0565	1	0	4	0
94	47.5	50	39.9	21	0
95	0.247	2	0	9	1
96	126	400	0	33	1
97	1.35	10	0	17	1
98	12.6	100	0	24	1
99	0.103	2	0	5	2
----------------------------------------
1481406451
task	R	T	Offset	priority	allocation
0	3.32	40	0	20	0
1	0.015	1	0	0	0
2	72.7	1000	0	38	0
3	374	1000	1.16	40	0
4	394	1000	0	41	0
5	5.49	50	0.0293	23	0
6	0.162	2	0	4	0
7	0.632	10	0	12	0
8	22.7	100	8.41	29	0
9	0.185	2	0	5	0
10	0.193	2	0	6	0
11	0.991	10	0	14	0
12	10.6	100	0.0214	12	2
13	1.45	10	0	15	0
14	12.1	100	0.193	24	1
15	1	1	0.991	0	1
16	1.62	10	0	16	0
17	22.8	400	0.991	15	2
18	1.69	10	0	17	0
19	29.1	50	22.8	18	1
20	77.3	200	49.9	30	1
21	2.79	50	0	9	2
22	5.57	50	0	24	0
23	6.82	50	0	25	0
24	50.4	400	1.11	36	0
25	0.0214	1	0	1	0
26	12.9	50	0	27	0
27	3.23	40	0	19	0
28	35.9	200	12.2	32	0
29	32.6	200	6.8	33	0
30	0.0293	1	0	1	1
31	39.9	200	3.23	31	1
32	9.33	50	0	26	0
33	90.7	1000	6.82	17	2
34	143	1000	0.076	39	0
35	13.2	100	0.298	25	1
36	0.0303	1	0	0	2
37	8.77	50	0.469	19	1
38	167	1000	32.6	37	1
39	14.5	100	0	30	0
40	16.2	400	0.632	14	2
41	0.115	1	0	2	0
42	0.131	4	0	3	2
43	8.38	100	0	11	2
44	4.95	50	0	21	0
45	0.469	5	0	9	0
46	13.7	50	0.307	28	0
47	15.7	100	0	31	0
48	234	1000	143	18	2
49	0.157	5	0	5	1
50	9.54	20	8.38	12	1
51	245	1000	72.7	38	1
52	0.526	5	0	10	0
53	11.2	100	0	22	1
54	12.1	100	0.307	23	1
55	3.41	40	0	16	1
56	1.37	20	0	13	1
57	37.3	200	0.193	32	1
58	0.16	1	0	3	0
59	1.14	10	0	11	1
60	39	200	0	33	1
61	0.234	5	0	6	1
62	0.631	5	0	7	1
63	0.0436	2	0	3	1
64	3.05	50	0	10	2
65	0.452	5	0	5	2
66	72.6	400	0.631	37	0
67	0.0325	2	0	2	2
68	0.733	5	0	8	1
69	28.6	200	0	34	0
70	38.3	400	8.34	35	0
71	4.97	50	0	22	0
72	0.807	10	0	8	2
73	0.685	5	0	6	2
74	0.298	2	0	7	0
75	0.0338	1	0	2	1
76	9.49	50	0.0303	20	1
77	48	50	38.3	21	1
78	116	400	38.3	36	1
79	0.531	10	0	11	0
80	3.22	40	0	15	1
81	58.8	400	0	34	1
82	19.7	200	0	27	1
83	1.53	20	0	14	1
84	0.882	5	0	9	1
85	0.031	1	0	1	2
86	68.7	400	0	35	1
87	18.6	200	6.82	13	2
88	21.8	200	0	28	1
89	0.791	10	0	13	0
90	24.3	200	0	29	1
91	0.076	2	0	4	1
92	1.84	5	1.14	7	2
93	4.21	50	0	17	1
94	1.11	5	0	10	1
95	14.1	100	0	26	1
96	0.333	4	0	8	0
97	1.9	10	0	18	0
