1481406354
task	R	T	Offset	priority	allocation
95	0.0754	2	0	4	2
96	0.454	4	0	7	2
97	29.9	200	0	18	2
98	25	400	0	20	1
99	63.1	200	0	39	0
----------------------------------------
1481406370
task	R	T	Offset	priority	allocation
0	1.59	20	0	9	1
1	2.47	10	1.59	12	0
2	2.55	20	0	21	0
3	0.909	10	0	13	0
4	299	1000	0.123	44	0
5	0.226	5	0	5	1
6	272	1000	0	43	0
7	27.1	200	0	37	0
8	23.7	200	0	36	0
9	5.16	40	0	24	0
10	0.0764	2	0	3	0
11	0.624	4	0	7	0
12	33.7	500	0	17	1
13	6.59	40	0.86	26	0
14	19.4	100	0.152	35	0
15	0.0919	2	0	4	0
16	0.123	2	0	5	0
17	0.033	1	0	0	0
18	0.0129	1	0	0	1
19	0.105	1	0.0919	0	2
20	10.9	50	0	30	0
21	1.07	10	0	14	0
22	139	500	8.27	42	0
23	2.21	20	0	19	0
24	0.0523	2	0	3	2
25	0.84	4	0	8	0
26	10.9	100	0	14	1
27	4.43	50	0	19	2
28	0.756	10	0	8	2
29	0.882	10	0	11	0
30	0.0758	1	0	1	1
31	4.88	50	0	20	2
32	2.22	20	0	20	0
33	0.123	2	0	4	1
34	0.363	10	0	6	1
35	1.05	10	0	10	2
36	2.65	20	0	22	0
37	3.97	40	0	18	2
38	55.4	500	0.033	19	1
39	25.7	400	0	28	2
40	1.09	10	0	11	2
41	1.3	10	0	12	2
42	0.0353	1	0	1	0
43	7.73	50	0	21	2
44	15.5	50	0	31	0
45	26.9	400	0	29	2
46	60.6	500	2.22	20	1
47	0.0905	1	0	2	1
48	5	50	0	10	1
49	0.161	1	0.123	1	2
50	3.5	20	0	17	2
51	77.5	400	3.97	40	0
52	0.152	4	0	5	2
53	1.6	10	0	13	2
54	40.2	400	5.73	30	2
55	18.7	100	0	33	0
56	1.67	20	0	17	0
57	1.72	20	0	18	0
58	3.3	20	0	23	0
59	12.8	100	0	25	2
60	5.36	50	0	11	1
61	1.88	10	0	14	2
62	2.42	10	0	15	2
63	1.11	10	0	15	0
64	5.75	50	0	12	1
65	18.7	400	0	16	1
66	57.3	500	2.42	18	1
67	8.7	50	0	22	2
68	0.134	2	0	4	2
69	14.7	100	0.756	15	1
70	13.6	400	0	26	2
71	5.8	40	0	27	0
72	7.51	50	0	29	0
73	19.2	100	0	34	0
74	0.558	4	0	6	0
75	31.9	400	0	38	0
76	5.44	40	0	25	0
77	1.16	10	0	16	0
78	95.4	500	0.882	21	1
79	0.0411	1	0	2	0
80	0.483	5	0	6	2
81	36.8	500	2.21	31	2
82	33.9	400	0	39	0
83	9.09	100	0	24	2
84	6.92	40	0	28	0
85	31.9	50	14.7	32	0
86	0.547	10	0	7	1
87	123	1000	0	22	1
88	21.9	100	13.6	13	1
89	0.86	10	0	9	2
90	0.039	1	0	2	2
91	3.49	20	0	16	2
92	42.8	400	27.1	27	2
93	24.2	100	15.5	23	2
94	0.093	1	0	3	1
95	90.8	500	0	41	0
96	0.869	4	0	9	0
97	1.2	20	0	8	1
98	0.878	4	0	10	0
99	0.509	5	0	7	2
----------------------------------------
1481406371
task	R	T	Offset	priority	allocation
0	274	1000	0	48	0
1	410	1000	121	49	0
2	15.9	100	0.465	32	0
3	123	1000	9.4	24	1
4	0.0471	2	0	2	2
5	11.8	50	0	28	0
6	1.92	20	0	19	0
7	0.485	10	0	9	1
8	495	1000	410	22	1
9	160	1000	0.0566	47	0
10	95.4	400	0	41	0
11	6.87	40	0.216	24	0
12	28.2	200	0	35	0
13	0.764	10	0	13	0
14	0.0201	1	0	0	0
15	0.164	5	0	8	0
16	0.376	5	0	7	1
17	31.7	200	0	36	0
18	0.167	4	0	5	1
19	16.5	500	0	19	1
20	0.613	10	0	10	1
21	0.00263	1	0	0	1
22	0.913	10	0	14	0
23	0.446	10	0	12	0
24	9.4	50	0	27	0
25	0.183	5	0	9	0
26	0.112	4	0	6	0
27	7.99	200	0	18	1
28	7.41	40	0	25	0
29	0.465	10	0	8	1
